,created_at,id_str,text,longitude,latitude
1,2019-09-29 6:09:07,1.1781899453385482e+18,The outside may look the same but the inside of the Hyde Park Barracks is changing 🏗🏗🏗 Installing a lift into a… https://t.co/nQvF7eFI4H,151.2124115,-33.86967265
3,2019-09-29 6:08:59,1.1781899103916278e+18,"Opening in early 2020, the new Hyde Park Barracks experience will display &gt;4000 original objects from the… https://t.co/VgNYqr5LDz",151.2124115,-33.86967265
5,2019-09-29 6:08:48,1.1781898672110797e+18,The Hyde Park Barracks is a @unesco World Heritage site in the historic heart of Sydney. This @sydlivmus property w… https://t.co/Uq3mV2fHYS,151.2124115,-33.86967265
7,2019-09-29 6:08:38,1.17818982380424e+18,"Following a major renewal, the @unesco World Heritage listed Hyde Park Barracks is reopening in early 2020 🔐🔐🔐… https://t.co/QIeHyWaBGW",151.2124115,-33.86967265
9,2019-09-29 4:00:32,1.1781575854526792e+18,Updated: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park https://t.co/RvG7G6LufY,-73.526123,40.768058
11,2019-09-29 4:00:30,1.178157579584901e+18,Updated: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station https://t.co/zKh2D6hFOf,-73.526123,40.768058
13,2019-09-29 4:00:30,1.1781575769927598e+18,Updated: Construction on #MainLine Both directions at New Hyde Park https://t.co/dom8GVf24F,-73.67987600000001,40.731217
15,2019-09-29 4:00:28,1.178157570936234e+18,Updated: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park https://t.co/IrYiC514yy,-73.526123,40.768058
17,2019-09-29 4:00:26,1.1781575628244664e+18,Updated: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station https://t.co/s9ZxIiGC0m,-73.526123,40.768058
19,2019-09-29 3:59:20,1.1781572857570673e+18,Cleared: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park,-73.526123,40.768058
21,2019-09-29 3:59:20,1.1781572832782418e+18,Cleared: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park,-73.526123,40.768058
23,2019-09-29 3:59:19,1.178157281650905e+18,Cleared: Construction on #MainLine Both directions at New Hyde Park,-73.67987600000001,40.731217
25,2019-09-29 3:58:32,1.1781570841914e+18,Cleared: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station,-73.526123,40.768058
27,2019-09-29 3:58:32,1.178157083960791e+18,Cleared: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station,-73.526123,40.768058
29,2019-09-29 3:33:03,1.1781506714990387e+18,"I'm at Hyde Park in Tampa, FL https://t.co/0L8bAsmdl6",-82.47672732,27.93507926
31,2019-09-29 1:56:51,1.1781264590151844e+18,Perfect #datenight #fallfestival @ Hyde Park Village https://t.co/vB0VjhFMQg,-82.4756551,27.936468400000003
33,2019-09-29 1:49:46,1.1781246777947832e+18,"True Story. #theend @ Hyde Park (Austin, Texas) https://t.co/cBvxdJjH0I",-97.730278,30.3075
35,2019-09-29 1:22:51,1.1781179037801267e+18,My boys spoiled me #birthdaygirl #momofboys💙💙💙 #love #family #liveyourbestlife @ Hyde Park https://t.co/1Ifue3pHtJ,-81.3314006,43.012581299999994
37,2019-09-29 0:56:27,1.1781112629344092e+18,My heart ♥️ my world 🌎 my reason for being💖 they bring me life/joy/happiness/craziness/love/laughter #momofboys💙💙💙… https://t.co/FKuV5aZdxg,-81.3314006,43.012581299999994
39,2019-09-29 0:15:58,1.17810107109444e+18,#Sydney #Skyline #Australia @ Sheraton Grand Sydney Hyde Park https://t.co/VIIs8KTJMG,151.2095869,-33.8714912
41,2019-09-28 23:11:46,1.178084916652839e+18,"Turisteando :) (@ Hyde Park - @cityofsydney in Sydney, NSW) https://t.co/9QUx73Ihh3 https://t.co/QhVBAKjOj4",151.21067390000002,-33.87327061
43,2019-09-28 22:20:25,1.178071993377284e+18,"Homecoming dance #highschool #homecoming #highschooldance #myson @ Hyde Park, Chicago https://t.co/u6Ut8y9wSp",-87.59,41.8
45,2019-09-28 22:15:19,1.1780707099076772e+18,#daddydaughter date night starts with a steak dinner. @ Hyde Park Prime Steakhouse - Indianapolis https://t.co/e0hRj7TBmt,-86.1596849,39.768192799999994
47,2019-09-28 21:36:31,1.1780609475645153e+18,Kensington Gardens and Hyde Park @ Kensington Gardens https://t.co/4JAtOiUVDT,-0.18027778,51.50722222
49,2019-09-28 19:49:21,1.1780339773970022e+18,Cleared: Incident on #I495 WB from Exit 34 - New Hyde Park Road to Exit 33 - Lakeville Road,-73.6917,40.7685
51,2019-09-28 19:49:21,1.1780339757738435e+18,Cleared: Incident on #I495 WB from Exit 34 - New Hyde Park Road to Exit 33 - Lakeville Road,-73.6917,40.7685
53,2019-09-28 19:48:32,1.1780337701690204e+18,Updated: Incident on #I495 WB from Exit 34 - New Hyde Park Road to Exit 33 - Lakeville Road https://t.co/DLB1NEqG6n,-73.6917,40.7685
55,2019-09-28 19:48:32,1.178033769447641e+18,Updated: Incident on #I495 WB from Exit 34 - New Hyde Park Road to Exit 33 - Lakeville Road https://t.co/nCgy3o5lk3,-73.6917,40.7685
57,2019-09-28 19:43:28,1.1780324967112172e+18,"I'm at Historic Hyde Park in Kansas City, MO https://t.co/8Z7wqcvtvY",-94.58185673,39.05993308
59,2019-09-28 19:43:24,1.178032480844165e+18,Incident on #I495 WB from Exit 34 - New Hyde Park Road to Exit 33 - Lakeville Road https://t.co/DLB1NEqG6n,-73.6917,40.7685
61,2019-09-28 19:43:22,1.1780324724262707e+18,Incident on #I495 WB from Exit 34 - New Hyde Park Road to Exit 33 - Lakeville Road https://t.co/nCgy3o5lk3,-73.6917,40.7685
63,2019-09-28 19:43:08,1.1780324127203205e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/RLm1uJyxqh",-94.57731698,39.05155488
65,2019-09-28 19:21:32,1.1780269743144223e+18,Samy bishai Laurie Lowe Asaf Sirkis Whirlwind Recordings Robinson Khoury @ Hyde Park https://t.co/hPjHqE353u,-0.16324997,51.50707303
67,2019-09-28 18:46:39,1.178018195913007e+18,"I'm at Stop &amp; Shop in New Hyde Park, NY https://t.co/RDKf5ruAcN",-73.6988181,40.7413893
69,2019-09-28 18:38:36,1.1780161699467633e+18,"Wait for it!!!! Caturdayyyy @lizzo style!!! 😹😹😹😹 #lizzo #caturday #cartoon #mashup @ Hyde Park (Austin, Texas) https://t.co/THaMDgzASy",-97.730278,30.3075
71,2019-09-28 18:23:36,1.1780123987010478e+18,"Lot Release - FREE TACOS &amp; Margaritas 

Hyde Park by Beazer
2908 Hyde Manor Road, 
North Las Vegas, NV 89031… https://t.co/pKKEsBweCh",-115.2794,36.297779999999996
73,2019-09-28 17:32:50,1.1779996199445668e+18,See y’all down at @HPJazzFest this weekend. Today with @nickmazzarella Quintet and tomorrow with fittedphonic Rogue… https://t.co/tCmtAeJXoU,-87.59713442,41.78660233
75,2019-09-28 17:23:10,1.1779971889383547e+18,Nice end to the day working for @beatED a little run round Hyde park. The autumn is approaching 🍂🍁now to find out w… https://t.co/MsRhk8PkIh,-0.16324997,51.50707303
77,2019-09-28 16:41:03,1.1779865903559885e+18,"I'm at BP in New Hyde Park, NY https://t.co/HvMya43I17",-73.66232693,40.74107685
79,2019-09-28 16:34:14,1.177984873698648e+18,"I'm at Best Comics in New Hyde Park, NY https://t.co/1pFBgICPEa",-73.6822723,40.73310641
81,2019-09-28 16:15:39,1.1779801959591813e+18,"MOVE-IN READY! Loaded with character, this adorable cape I'm one of Hyde Park's best neighborhoods is fantastic! To… https://t.co/Av2dNkxmzn",-71.12395,42.25643
83,2019-09-28 15:48:54,1.177973467414696e+18,This afternoon we visited Kensington Palce and Hyde Park. We saw exhibits on George I &amp; II and Queen Elizabeth. We… https://t.co/jMCOCFkMxo,-0.18750689,51.50494547
85,2019-09-28 15:34:17,1.177969785650471e+18,"INHALE AND EXHALE
#imisslondon 
#throwback 
#hydepark 
#london
#phuwadonbiere @ Hyde Park https://t.co/RlLLFJef5W",-0.16324997,51.50707303
87,2019-09-28 15:27:34,1.1779680970237256e+18,Here’s a shocker!!!! My dog talks a little 🙀🤣🙀😂 I think he wants some attention lol 😆 #puppymomma #puppylove… https://t.co/6pu2KiTkMf,-81.3314006,43.012581299999994
89,2019-09-28 14:35:24,1.1779549665451704e+18,How’d you spend your rainy Friday evening? Oh just putting together this massive swing that almost rocked me to sle… https://t.co/zHmNiGsyKT,-87.59,41.8
91,2019-09-28 14:24:53,1.1779523211768177e+18,"Reggie Thomas w/ ORBERT DAVIS SEXTET: IN THE SPIRIT
SATURDAY, SEPTEMBER 28, 2:30-3:30PM
HYDE PARK UNION CHURCH Hyde… https://t.co/hOAy79ibF0",-87.59678806,41.79295516
93,2019-09-28 12:51:42,1.177928871003472e+18,"Weekend mood @ Hyde Park, Leeds https://t.co/Fepew4D6xi",-1.57245,53.8114
95,2019-09-28 11:55:43,1.1779147808977265e+18,"Our second day. 

We explored the city again. Found many more red phone booths. Took a walk on the Princess Diana M… https://t.co/HEqrNB8ziy",-0.12731805,51.50711486
97,2019-09-28 9:45:20,1.177881971944493e+18,"Another fun weekend in London running our event, started the morning with a dance 💃🏽 and a hour long walk around Hy… https://t.co/HQmA6uOe3X",-0.18324368,51.49361418
99,2019-09-28 5:29:33,1.1778175998386995e+18,"This little beauty is everything to me @ Hyde Park (Austin, Texas) https://t.co/fPCVFmC9tT",-97.730278,30.3075
101,2019-09-28 4:13:21,1.1777984262029066e+18,Updated: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park https://t.co/KqSqeu9GEV,-73.526123,40.768058
103,2019-09-28 4:12:24,1.1777981854792253e+18,Updated: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station https://t.co/qiRBrAzWYT,-73.526123,40.768058
105,2019-09-28 4:01:36,1.1777954667439964e+18,Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park https://t.co/KqSqeu9GEV,-73.526123,40.768058
107,2019-09-28 4:01:36,1.1777954660351877e+18,Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station https://t.co/qiRBrAzWYT,-73.526123,40.768058
109,2019-09-28 3:01:41,1.177780387092865e+18,"The dream team @ Hyde Park, Massachusetts https://t.co/P5p4LoL5i7",-71.12395,42.25643
111,2019-09-28 1:30:39,1.177757479175803e+18,"#austin #bats #texas #sunset #halloween has arrived early in #hydepark @ Hyde Park (Austin, Texas) https://t.co/v5r3PQrKiu",-97.730278,30.3075
113,2019-09-28 1:29:28,1.1777571822064148e+18,"#texas #flowers #austin #sunset @ Hyde Park (Austin, Texas) https://t.co/A5aRoQDRf8",-97.730278,30.3075
115,2019-09-28 0:39:39,1.1777446466273034e+18,Drinking an Oktoberfest by @Leinenkugels @ Hyde Park Brewing Co. — https://t.co/sgVMkcykrB,-73.9294,41.7692
117,2019-09-28 0:07:40,1.1777365949771817e+18,Drinking a Winkle Lager  by @hydeparkbrewing @ Hyde Park Brewing Co. — https://t.co/7kKM5D2x6A,-73.9294,41.7692
119,2019-09-27 23:57:09,1.177733950678225e+18,"2908 Hyde Manor Park, North Las Vegas, NV 89031

Everyone stop by for some Free Tacos and Magaritas and maybe by a… https://t.co/B0sKpHqtt2",-115.2794,36.297779999999996
121,2019-09-27 23:23:10,1.177725397066244e+18,I have my shadow back by my side #ithinkhemissedme #puppymomma #puppylove #puppylife🐾 #goldendoodlesofinstagram @ H… https://t.co/d3K1yJOOet,-81.3314006,43.012581299999994
123,2019-09-27 23:03:34,1.1777204629120205e+18,"Can you find the same sight? 🦢🌈😝
#hydeparklondon @ Hyde Park, London https://t.co/eIVyAUfLGa",-0.16964389,51.50732694
125,2019-09-27 22:32:11,1.177712565931008e+18,"This job is now open at TD Bank in #NewHydePark, NY. Follow us and turn on mobile alerts to hear about jobs like th… https://t.co/XVqFuAmcnX",-73.6997432,40.7391658
127,2019-09-27 21:40:19,1.1776995145908593e+18,"#Chicago 9.28-29 Join FC @ the  Hyde Park Jazz Fest! @voguemagazine #fbf #2104
•
•🌟Sat: 1-10pm / Sun 1-7pm 
midway… https://t.co/eF9vdPXVBf",-87.5962,41.7869
129,2019-09-27 20:43:11,1.1776851343650734e+18,Shit.that.fucking.matters. #the #unexplained #serendipity #connections #roots #love #quotes #qotd #instagood @ Hyde… https://t.co/WUbg5ZSe4i,-97.730278,30.3075
131,2019-09-27 20:33:14,1.1776826305836933e+18,Downtown Chicago on a rainy afternoon from Hyde Park. #clouds #sky #rain #storm #hazy #lazy #fall #autumn #iphone… https://t.co/ZAVDV06y2F,-87.6051405,41.79117670000001
133,2019-09-27 19:51:34,1.1776721479902372e+18,"Andrew listed , Andrew sold 👍
🎉 Coming soon 🎉
1 family in New Hyde Park $ 998,000  #Congratulation #Goodjob… https://t.co/KOjNk0dEd8",-73.69674986,40.75276412
135,2019-09-27 18:45:45,1.1776555834885325e+18,S/o to wellsfargo FOR CORRECTING THIS BS FROM OVER 13YRS AGO ON MY FIRST FOREIGN.... BUT SHIT SHOULD MY MONEY BE WA… https://t.co/UAAlhr9X8G,-87.59,41.8
137,2019-09-27 18:21:57,1.1776495955911352e+18,"—💙 (@ Hyde Park - @theroyalparks in London, Greater London) https://t.co/oI1XWjBlwZ",-0.16239166,51.50778088
139,2019-09-27 18:11:14,1.1776468953988178e+18,"Don’t tell me how to live my life, bathroom sign. @ Hyde Park Kitchen + Bar https://t.co/TqS1e8N0cn",-95.1164766,29.539046799999998
141,2019-09-27 16:12:39,1.1776170525526303e+18,Because sometimes it’s only ten minutes of calm and fresh air. #affirmations #sunshine #quickreads #bookrec #quotes… https://t.co/EBXSgt12E7,-97.730278,30.3075
143,2019-09-27 16:07:25,1.1776157378144748e+18,"Performing at Chant Restaurant on October 1, 2019 at 7pm..photographer Jordan Davis will be on deck also. Great mus… https://t.co/F0pdPW82IH",-87.58872530000001,41.799415100000004
145,2019-09-27 16:00:26,1.1776139794699305e+18,"Nicholas Davis performing live at Chant Restaurant October 12, 2019 at 7pm @ Chant Chinese Restaurant in Hyde Park https://t.co/lc99VyTbUa",-87.59289,41.7995
147,2019-09-27 15:21:28,1.1776041741141115e+18,If you would've told me to run a 5k a few months back I would've cried. Thanks to these at Age UK who pushed me to… https://t.co/XrhIX1hi0p,-0.17480917,51.50467154
149,2019-09-27 14:57:23,1.177598112551932e+18,"If you're looking for work in #Cincinnati, OH, check out this #branchbanking job via the link in our bio: Universal… https://t.co/SxCynGcYfY",-84.5120196,39.103118200000004
151,2019-09-27 14:45:35,1.177595144167678e+18,"I'm at Mandarin Oriental Hyde Park - @mo_hotels in London, Gt Lon https://t.co/VnMFtQKIpu",-0.1598675,51.502272999999995
153,2019-09-27 14:36:42,1.1775929093837742e+18,"I'm at Historic Hyde Park in Kansas City, MO https://t.co/5LWQQ0PMso",-94.58185673,39.05993308
155,2019-09-27 14:00:26,1.177583779092656e+18,"See our latest #London, ON #Retail job opportunity and click the link in our bio to apply: barista - Store# 04722,… https://t.co/gJ6KTKx4XI",-81.33669470000001,43.010290399999995
157,2019-09-27 12:26:12,1.1775600652824003e+18,Great place to be on a beautiful morning. #hydeparkumc (@ Hyde Park United Methodist Church - @hydeparkumc in Tampa… https://t.co/adPghhLtro,-82.46535301,27.94137472
159,2019-09-27 6:39:23,1.1774727865974743e+18,"I'm at Hyde Park Hobbit Hole in Kansas City, MO https://t.co/8CZXLaYbWP",-94.57731698,39.05155488
161,2019-09-27 5:41:51,1.1774583082417152e+18,"If I could read his mind I’m betting he’s thinking, “Just let me know when your done w/that vacuum.” 
He’s not a fa… https://t.co/OqZ90nTQya",-94.21206433,36.27943798
163,2019-09-27 3:10:06,1.1774201200057098e+18,I have enjoyed every second of the last two years. I wouldn’t change a thing. #lewandme @ Hyde Park Prime Steakhous… https://t.co/MPQUg3O5ug,-80.0081921,40.44638581
165,2019-09-27 1:22:21,1.1773930024294646e+18,"This girl❣ when you meet those angels on Earth, so blessed to have such special friends that will be mine, for the… https://t.co/w64KyRet4D",-82.47227608,27.93439252
167,2019-09-27 0:05:09,1.1773735759987712e+18,Hoping one day you’ll make a dream last but dreams come slow and they go so fast 🍂🌸🌾 em Hyde Park https://t.co/63c5N9mOKz,-0.16324997,51.50707303
169,2019-09-26 20:31:24,1.1773197850020782e+18,This SAT | OCT | 28 we will be throwing a special Independence Day celebration for all our Botswanans out here in t… https://t.co/NsT765yUBC,-82.47819,27.94173
171,2019-09-26 19:49:13,1.1773091682917253e+18,"#TBT 
4 years ago today myself and Sam were staying in a 5star hotel on Hyde park, Kensington, London VIP guests of… https://t.co/X6sH26EhBM",-0.3412301,51.4544888
173,2019-09-26 17:48:33,1.1772787993959383e+18,Incident on #PortJeffersonBranch Both directions at New Hyde Park Station https://t.co/OHVGjHchd4,-73.68139599999999,40.730647999999995
175,2019-09-26 16:30:49,1.1772592385376174e+18,It’s fall y’all! #schnauzersofinstagram #schnauzer #toddlerlife #momlife #boymom #momsofsouthtampa #southtampa… https://t.co/iYwLvOqD9Q,-82.4756551,27.936468400000003
177,2019-09-26 16:09:43,1.1772539284818289e+18,"Check out some of our highlights from last Saturday's Family #photographyworkshop in Hyde Park, London, run by Pro… https://t.co/BAhwkqX1W8",-0.16324997,51.50707303
